effect_row_id,skill_id,trigger,trigger_value,target,op,value,value_type,enabled,action_slot,note
se_shuriken_p_n,sk_shuriken_plus,ON_PLAYER_TURN,100,VOLLEY_COUNT,ADD,2,FLAT,TRUE,DAGGER,수리검+ 2발
se_shuriken_p_r,sk_shuriken_plus,ON_PLAYER_TURN,100,VOLLEY_RATIO,SET,0.45,ATK_RATIO,TRUE,DAGGER,발당 ATK45%
se_lightning_n,sk_lightning,ALWAYS,0,VOLLEY_COUNT,ADD,1,FLAT,TRUE,BOLT,번개 1발/턴
se_lightning_r,sk_lightning,ALWAYS,0,VOLLEY_RATIO,SET,0.30,ATK_RATIO,TRUE,BOLT,발당 ATK30%
se_lightning_p_n,sk_lightning_plus,ALWAYS,0,VOLLEY_COUNT,ADD,2,FLAT,TRUE,BOLT,번개+ 2발/턴
se_lightning_p_r,sk_lightning_plus,ALWAYS,0,VOLLEY_RATIO,SET,0.30,ATK_RATIO,TRUE,BOLT,발당 ATK30%
se_normal_shield,sk_normal_shield,ON_PLAYER_TURN,40,SHIELD_FLAT,ADD,0.05,MAX_HP_PCT,TRUE,AFTER_ATTACK,BA shield 40%
se_normal_shield_p,sk_normal_shield_plus,ON_PLAYER_TURN,50,SHIELD_FLAT,ADD,0.08,MAX_HP_PCT,TRUE,AFTER_ATTACK,BA shield+ 50%
se_ice_shard,sk_ice_shard_normal,ON_PLAYER_TURN,35,BONUS_DMG_FLAT,ADD,0.30,ATK_RATIO,TRUE,AFTER_ATTACK,icy spike 35%
se_ice_shard_fz,sk_ice_shard_normal,ON_PLAYER_TURN,8,STATUS_FREEZE,ADD,1,FLAT,TRUE,AFTER_ATTACK,freeze 8% with spike
se_ice_shard_p,sk_ice_shard_plus,ON_PLAYER_TURN,50,BONUS_DMG_FLAT,ADD,0.30,ATK_RATIO,TRUE,AFTER_ATTACK,icy spike+ 50%
se_ice_shard_p_fz,sk_ice_shard_plus,ON_PLAYER_TURN,12,STATUS_FREEZE,ADD,1,FLAT,TRUE,AFTER_ATTACK,freeze 12%
se_bleed,sk_bleed,ON_PLAYER_TURN,40,STATUS_POISON,ADD,1,FLAT,TRUE,AFTER_ATTACK,poison on hit 40%
se_rage_shuriken_n,sk_rage_shuriken,ON_RAGE,100,VOLLEY_COUNT,ADD,1,FLAT,TRUE,DAGGER,분노 수리검 1발
se_rage_shuriken_r,sk_rage_shuriken,ON_RAGE,100,VOLLEY_RATIO,SET,0.45,ATK_RATIO,TRUE,DAGGER,발당 ATK45%
se_firewave_n,sk_rage_firewave,ON_RAGE,100,VOLLEY_COUNT,ADD,2,FLAT,TRUE,FIREWAVE,화염파 2발
se_firewave_r,sk_rage_firewave,ON_RAGE,100,VOLLEY_RATIO,SET,0.40,ATK_RATIO,TRUE,FIREWAVE,발당 ATK40%
se_firewave_burn,sk_rage_firewave,ON_RAGE,25,STATUS_BURN,ADD,1,FLAT,TRUE,RAGE,burn 25%
se_firewave_p_n,sk_rage_firewave_plus,ON_RAGE,100,VOLLEY_COUNT,ADD,2,FLAT,TRUE,FIREWAVE,화염파+ 2발
se_firewave_p_r,sk_rage_firewave_plus,ON_RAGE,100,VOLLEY_RATIO,SET,0.55,ATK_RATIO,TRUE,FIREWAVE,발당 ATK55%
se_firewave_p_burn,sk_rage_firewave_plus,ON_RAGE,35,STATUS_BURN,ADD,1,FLAT,TRUE,RAGE,burn 35%
se_rage_shield,sk_rage_shield,ON_RAGE,100,SHIELD_FLAT,ADD,0.10,MAX_HP_PCT,TRUE,SHIELD,rage shield 10%
se_rage_shield_p,sk_rage_shield_plus,ON_RAGE,100,SHIELD_FLAT,ADD,0.15,MAX_HP_PCT,TRUE,SHIELD,rage shield 15%
se_flame_guard,sk_flame_shield,ON_HIT_CHANCE,30,BONUS_DMG_FLAT,ADD,0.40,ATK_RATIO,TRUE,ON_HIT,Fire Guard dmg
se_flame_guard_burn,sk_flame_shield,ON_HIT_CHANCE,25,STATUS_BURN,ADD,1,FLAT,TRUE,ON_HIT,Fire Guard burn
se_critical_shield,sk_critical_shield,ON_HP_FIRST_BELOW,30,SHIELD_FLAT,ADD,0.25,MAX_HP_PCT,TRUE,SHIELD,crit shield
se_critical_shield_p,sk_critical_shield_plus,ON_HP_FIRST_BELOW,30,SHIELD_FLAT,ADD,0.35,MAX_HP_PCT,TRUE,SHIELD,crit shield+
se_neartodeath,sk_neartodeath_recover,ON_HP_FIRST_BELOW,30,CRIT_RECOVER,SET,3,FLAT,TRUE,PASSIVE,3 rounds recover
se_neartodeath_heal,sk_neartodeath_recover,ON_HP_FIRST_BELOW,30,HEAL_MAX_HP_PCT,ADD,0.10,RATIO,TRUE,PASSIVE,heal amt per round
se_counter_n,sk_counter_light,ON_COUNTER,100,VOLLEY_COUNT,ADD,1,FLAT,TRUE,SPEAR,빛의 창 1발
se_counter_r,sk_counter_light,ON_COUNTER,100,VOLLEY_RATIO,SET,0.30,ATK_RATIO,TRUE,SPEAR,발당 ATK30%
se_counter_p_n,sk_counter_light_plus,ON_COUNTER,100,VOLLEY_COUNT,ADD,2,FLAT,TRUE,SPEAR,빛의 창 2발
se_counter_p_r,sk_counter_light_plus,ON_COUNTER,100,VOLLEY_RATIO,SET,0.30,ATK_RATIO,TRUE,SPEAR,발당 ATK30%
se_counter_base,sk_counter_light,ALWAYS,0,COUNTER_RATE,ADD,25,FLAT,TRUE,PASSIVE,base counter when owned
se_counter_base_p,sk_counter_light_plus,ALWAYS,0,COUNTER_RATE,ADD,25,FLAT,TRUE,PASSIVE,counter rate with+
se_firecracker,sk_firecracker,COMBAT_START,0,STATUS_STUN,ADD,1,FLAT,TRUE,START,stun round1
se_ice_touch,sk_ice_touch,EVERY_N_ROUNDS,2,BONUS_DMG_FLAT,ADD,0.30,ATK_RATIO,TRUE,ACTIVE,frozen touch spike
se_ice_touch_exe,sk_ice_touch,EVERY_N_ROUNDS,2,EXECUTE_PCT,ADD,8,FLAT,TRUE,ACTIVE,execute 8% normal
se_revival,sk_revival,ALWAYS,0,REVIVE_HP_PCT,SET,0.30,RATIO,TRUE,PASSIVE,revive 30% meta
se_indestructible_dr,sk_indestructible,ALWAYS,0,DMG_TAKEN_MULT,MUL,0.55,RATIO,TRUE,PASSIVE,파괴 불가 DR
se_indestructible_out,sk_indestructible,ALWAYS,0,SKILL_DMG_MULT,ADD,-0.25,RATIO,TRUE,PASSIVE,파괴 불가 출력↓
se_super_vit,sk_super_vitality,ALWAYS,0,MAX_HP_MULT,ADD,0.50,RATIO,TRUE,PASSIVE,슈퍼 생명력 HP+50%
se_glass_cannon,sk_glass_cannon,ALWAYS,30,GLASS_CANNON,SET,1,FLAT,TRUE,PASSIVE,유리 대포 HP<=30
