key,text
ui_mg_spin_btn,돌리기
ui_mg_leave_btn,떠나기
ui_mg_left,떠났습니다
ui_devil_banner,낯선 상인을 만났다!
ui_devil_ask,거래하여 {hl}하시겠습니까?
ui_devil_ask_hl,스킬 획득
ui_devil_cost_max,MAX
ui_devil_cost_hp,{n} HP 최대치 감소
ui_preview_refuse,거절
ui_preview_accept,응하기
ui_medusa_banner,녹슨 감시 카메라를 발견했다
ui_medusa_ask,오래 마주 볼 용기가 있나?
ui_mg_open_btn,오픈
ui_mg_card_sub,같은 카드 3개를 찾아 보상을 획득하세요
ui_mg_dig_found,{name} 발견!
ui_mg_dig_tap,파기
ui_mg_dig_title,보물 파내기
ui_mg_spins_left,남은 돌리기 횟수:{n}
ui_chest_found,보물 발견
ui_milestone_reached,[{name}] 마일스톤 {at} 달성! 보상을 획득했습니다.
ui_skillswap_destroy,기존 스킬 [{name}]을(를) 파괴했습니다.
ui_skillswap_title,스킬 선택
ui_skillswap_none,교체할 스킬이 없습니다.
ui_restart_btn,새 챕터 시작
ui_stat_lv,LV
ui_stat_atk,ATK
ui_stat_def,DEF
ui_stat_gold,GOLD
ui_stat_hp_format,HP {hp}/{max}
ui_reward_modal_title,보상
ui_stage_turn,턴 {turn}
ui_stage_player_hit,{name}에게 {dmg} 피해!
ui_stage_enemy_hit,{name}의 공격! {dmg} 피해
ui_stage_player_win,{name}을(를) 쓰러뜨렸다!
ui_stage_timeout,시간이 지나 전투가 종료되었다
ui_stage_hp,{cur}/{max}
ui_combat_lose,전투에서 패배했습니다...
ui_day_unit,일
ui_skill_upgraded,스킬 [{name}] 강화(+) 했습니다.
ui_skill_upgraded_choice,스킬 [{name}] 강화(+) 했습니다. (3택1 중 선택)
ui_skill_upgrade_badge,강화+
ui_skill_upgrade_desc,[{name}] 강화 — {text}
ui_skill_upgrade_line,스킬 {name} 강화(+)
ui_skill_tip_status_base,상태: 기본 (강화 가능)
ui_skill_tip_status_plus,상태: 강화(+)
ui_skill_tip_status_max,상태: 최대
ui_skill_tip_power,전투 배율 ×{pct}%
ui_skill_tip_ability,능력
ui_stage_shield,SHD {cur}/{max}
ui_stage_shield_gain,보호막 +{n}
ui_stage_shield_absorb,보호막이 {n} 피해를 흡수!
ui_stage_shield_break,보호막이 깨졌습니다!
ui_stage_skill_heal,HP +{n}
ui_stage_enemy_blocked,{name}의 공격을 막았다!
ui_stage_counter_hit,반격! {name}에게 {dmg} 피해
ui_stage_turn_banner,— 턴 {turn} —
ui_stage_round_banner,— 라운드 {turn}/{max} —
ui_stage_side_player,— 모험가 공격 —
ui_stage_side_enemy,— {name} 공격 —
ui_stage_turn_total,{n}턴 예정
ui_stage_basic_hit,일반 공격! {name}에게 {dmg} 피해
ui_stage_atk_buff,⚔️ {name}! 전투 공격력 +{pct}%
ui_stage_skill_dmg,{icon} {name}! {dmg} 피해
ui_stage_buff_start,{icon} {name} 적용 — {text}
ui_stage_shield_proc,{icon} {name}! 보호막 +{n}
ui_stage_forgiving_hold,아슬아슬하게 버킰다!
ui_skill_hint_passive,타이밍: 전투 중 항상
ui_skill_hint_start,타이밍: 전투 시작 시
ui_skill_hint_throw,타이밍: 평타 전 투척
ui_skill_hint_active,타이밍: 평타 후 액티브
ui_skill_hint_active_chance,타이밍: 평타 후 액티브 ({pct})
ui_skill_hint_after,타이밍: 공격 후
ui_skill_hint_after_chance,타이밍: 공격 후 ({pct})
ui_skill_hint_onhit,타이밍: 피격 시
ui_skill_hint_onhit_hp,타이밍: HP {pct}% 이하 피격 시
ui_skill_hint_onhit_chance,타이밍: 피격 시 ({pct})
ui_skill_hint_rage,타이밍: 분노 시전 시
ui_skill_hint_hp_first,타이밍: HP {pct}% 이하 최초 1회
ui_skill_hint_counter,타이밍: 반격 성공 시
ui_skill_hint_every_n,타이밍: {n}라운드마다
ui_skill_hint_combo,타이밍: 연타 성공 시
ui_skill_hint_combo_rate,연타율 +{pct}%
ui_skill_hint_dodge,회피율 +{rate}%
ui_skill_hint_dodge_hp,HP {pct}% 이하 회피율 +{rate}%
ui_stage_dodge,💨 회피!
ui_stage_combo,👊 연타! {name}에게 {dmg} 피해
ui_stage_freeze_skip,❄️ {ename}이(가) 동결되어 움직일 수 없다!
ui_stage_stun_skip,🎆 {ename}이(가) 기절하여 움직일 수 없다!
ui_stage_burn_tick,🔥 화상×{n}! {dmg} 피해
ui_stage_poison_tick,🩸 출혈×{n}! {dmg} 피해
ui_stage_status_apply,{icon} {name}! {status}
ui_status_burn,화상
ui_status_poison,출혈
ui_status_freeze,동결
ui_status_stun,기절
ui_stage_crit_recover,{name}! 빈사 회복 {n}라운드 시작
ui_stage_crit_recover_tick,💗 빈사 회복 +{n} (남은 {left}라운드)
ui_stage_execute,❄️ {name}! {ename}을(를) 즉사시켰다!
ui_stage_rage,RAGE {cur}/{max}
ui_stage_player_rage,💢 분노 발동!
ui_stage_player_rage_basic,💢 분노 일격! {dmg} 피해
ui_stage_player_rage_skill,{icon} {name}! {dmg} 피해
ui_stage_enemy_skill_dmg,{icon} {ename}의 {name}! {dmg} 피해
ui_stage_enemy_shield_gain,{icon} {ename}이(가) {name}! 보호막 +{n}
ui_stage_enemy_shield_absorb,{ename} 보호막이 {n} 피해를 흡수!
ui_stage_enemy_shield_break,{ename} 보호막이 깨졌습니다!
ui_stage_enemy_basic,{icon} {ename}의 일반 공격! {dmg} 피해
ui_stage_enemy_combo,{icon} {ename}의 {name}! {dmg} 피해
ui_stage_enemy_rage,💢 {ename} {name}! {dmg} 피해
ui_stage_enemy_rage_charge,{ename} 분노 충전… ({cur}/{max})
ui_stage_phase,— 페이즈 {n} —
ui_stage_volley,{icon} {name} ({i}/{n})! {dmg} 피해
ui_volley_bolt,번개
ui_volley_dagger,수리검
ui_volley_firewave,화염파
ui_volley_spear,빛의 창
ui_skill_hint_volley,연속 발사 {n}발
ui_skill_hint_volley_slot,연속 발사
ui_stage_enemy_skill_tip_slot,슬롯: {slot}
ui_stage_loc_find,{name} 발견
ui_stage_loc_arrive,{name}에 도착했다
ui_stage_idle_continue,버튼을 눌러 계속 · {map}
ui_stage_moving_day,{day}일차로 이동 중…
ui_stage_combat_wait_title,전투 대기
ui_stage_combat_wait_sub,{name}과(와)의 전투가 기다립니다
ui_stage_combat_win_title,전투 승리!
ui_stage_combat_lose_title,전투 패배…
ui_stage_reward_title,{grade} 발견
ui_stage_branch_title,갈림길
ui_tier_normal,일반
ui_tier_elite,정예
ui_tier_boss,최종
ui_vs_player,모험가
ui_enemy_generic,적
ui_enemy_appear_named,[{tier}] {name}이(가) 나타났습니다!
ui_enemy_tier_line,→ 등급: {tier} · {name}
